词语, 词性种类, 词义数, 词义序号, 情感分类, 强度, 极性, 辅助情感分类, 强度, 极性, , , 
置之度外, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
喏喏连声, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
闭门羹, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
包羞忍耻, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
不见棺材不落泪, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
硁砭之愚, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
争先恐后, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
驷不及舌, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
驷马难追, idiom, 1.0, 1.0, PH, 7.0, 0.0, , , , , , 
松乔之寿, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
送去迎来, idiom, 2.0, 2.0, ND, 1.0, 2.0, , , , , , 
送旧迎新, idiom, 3.0, 3.0, NN, 5.0, 2.0, , , , , , 
搜肠润吻, idiom, 1.0, 1.0, PB, 7.0, 1.0, , , , , , 
夙夜匪解, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
隋珠和璧, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
随行逐队, idiom, 1.0, 1.0, PD, 1.0, 0.0, , , , , , 
随波逐浪, idiom, 4.0, 3.0, NN, 7.0, 2.0, , , , , , 
随时施宜, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
随圆就方, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
岁寒三友, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
遂迷忘反, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
碎骨粉身, idiom, 1.0, 1.0, PH, 9.0, 0.0, , , , , , 
损上益下, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
踏故習常, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
汰劣留良, idiom, 1.0, 1.0, PH, 7.0, 2.0, , , , , , 
贪功起釁, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
贪位慕禄, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
谈天说地, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
谈笑自如, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
谭言微中, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
探汤蹈火, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
汤去三面, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
滔滔不竭, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
饕口馋舌, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
桃李之馈, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
桃李精神, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
陶情適性, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
腾云驾雾, idiom, 2.0, 2.0, NN, 7.0, 2.0, , , , , , 
梯山架壑, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
鶗鴂彫卉, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
逖听遐视, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
殢雨尤云, idiom, 1.0, 1.0, PB, 9.0, 0.0, , , , , , 
天下莫敌, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
天方夜谭, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
天年不遂, idiom, 1.0, 1.0, NB, 7.0, 2.0, , , , , , 
天真烂熳, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
天假之年, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
天与人归, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
添枝加叶, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
恬不知怪, idiom, 1.0, 1.0, PE, 7.0, 1.0, , , , , , 
挑三拨四, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
挑脣料嘴, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
铁打心肠, idiom, 1.0, 1.0, PH, 9.0, 0.0, , , , , , 
铁棒磨成针, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
铁树花开, idiom, 1.0, 1.0, PC, 9.0, 1.0, , , , , , 
挺而走险, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
通元识微, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
通材达识, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
通时合变, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
通权达理, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
同心一力, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
同心协力, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
同休共戚, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
同流合汙, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
同尘合汙, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
同声相求, idiom, 1.0, 1.0, PB, 9.0, 1.0, , , , , , 
铜城铁壁, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
铜铸铁浇, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
头一无二, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
头昏脑眩, idiom, 1.0, 1.0, NE, 5.0, 0.0, , , , , , 
头梢自领, idiom, 1.0, 1.0, NE, 5.0, 2.0, , , , , , 
头痛额热, idiom, 1.0, 1.0, NE, 3.0, 2.0, , , , , , 
投卵击石, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
糖衣炮弹, noun, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
逃难, verb, 1.0, 1.0, NI, 5.0, 2.0, , , , , , 
陶铸, verb, 2.0, 2.0, PH, 5.0, 1.0, , , , , , 
套交情, verb, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
天禀, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
天神, noun, 1.0, 1.0, PD, 9.0, 1.0, , , , , , 
天资, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
甜密, adj, 1.0, 1.0, PB, 9.0, 1.0, , , , , , 
铁饭碗, noun, 1.0, 1.0, PB, 9.0, 1.0, , , , , , 
触目, adj, 1.0, 1.0, NC, 7.0, 2.0, , , , , , 
摧枯拉朽, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
村学究语, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
寸长尺技, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
撮科打閧, idiom, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
打死虎, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
打富济贫, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
大吆小喝, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
大音希声, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
大智如愚, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
大头小尾, idiom, 1.0, 1.0, NN, 5.0, 1.0, , , , , , 
代越庖俎, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
戴天履地, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
戴罪立功, idiom, 1.0, 1.0, PH, 5.0, 0.0, , , , , , 
单刀直入, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
担惊受恐, idiom, 1.0, 1.0, NC, 5.0, 0.0, , , , , , 
胆大心雄, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
胆粗气壮, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
诞幻不经, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
弹空说嘴, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
刀光血影, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
倒打一耙, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
倒执手版, idiom, 1.0, 1.0, NI, 5.0, 0.0, , , , , , 
道山学海, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
道东说西, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
道微德薄, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
道殣相属, idiom, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
得不偿丧, idiom, 1.0, 1.0, NJ, 5.0, 0.0, , , , , , 
得意扬扬, idiom, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
德重恩弘, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
砥柱中流, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
地久天长, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
雕文织采, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
雕虫小巧, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
彫虫篆刻, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
调良稳泛, idiom, 1.0, 1.0, PE, 5.0, 0.0, , , , , , 
跌宕风流, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
蹀躞不下, idiom, 1.0, 1.0, NI, 5.0, 2.0, , , , , , 
丢三拉四, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
东方不亮西方亮, idiom, 1.0, 1.0, PG, 5.0, 1.0, , , , , , 
东床娇婿, idiom, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
东游西逛, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
花枪, noun, 2.0, 2.0, NN, 5.0, 2.0, , , , , , 
怀鬼胎, adj, 1.0, 1.0, NL, 3.0, 2.0, , , , , , 
黄口小儿, noun, 1.0, 1.0, NN, 1.0, 2.0, , , , , , 
恍忽, adj, 2.0, 1.0, NI, 3.0, 0.0, , , , , , 
回首, verb, 1.0, 1.0, PF, 1.0, 0.0, , , , , , 
浑厚, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
骨气, noun, 1.0, 1.0, PD, 3.0, 1.0, , , , , , 
呱嗒, verb, 2.0, 2.0, NN, 3.0, 2.0, , , , , , 
光蛋, noun, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
遣兴陶情, idiom, 1.0, 1.0, PA, 4.0, 1.0, , , , , , 
强直自遂, idiom, 1.0, 1.0, PD, 7.0, 1.0, , , , , , 
强文假醋, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
敲竹槓, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
敲锣打鼓, idiom, 1.0, 1.0, PA, 8.0, 1.0, , , , , , 
巧偷豪夺, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
嵚崎磊落, idiom, 1.0, 1.0, PH, 8.0, 1.0, , , , , , 
沁人心肺, idiom, 1.0, 1.0, PA, 6.0, 1.0, , , , , , 
青钱万选, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
轻生重义, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
轻财仗义, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
轻怜疼惜, idiom, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
清风亮节, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
清辞丽曲, idiom, 1.0, 1.0, PH, 4.0, 0.0, , , , , , 
区闻陬见, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
驱霆策电, idiom, 1.0, 1.0, PH, 8.0, 1.0, , , , , , 
权变锋出, idiom, 1.0, 1.0, PH, 6.0, 1.0, , , , , , 
雀目鼠步, idiom, 1.0, 1.0, NC, 9.0, 2.0, , , , , , 
鹊巢鸠佔, idiom, 1.0, 1.0, NN, 6.0, 2.0, , , , , , 
让逸竞劳, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
人亡家破, idiom, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
人面狗心, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
人喊马嘶, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
忍苦耐劳, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
日旰忘餐, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
日乾夕惕, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
日丽风和, idiom, 1.0, 1.0, PE, 5.0, 1.0, , , , , , 
柔情侠骨, idiom, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
柔肠百转, idiom, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
如此而已, idiom, 1.0, 1.0, NJ, 5.0, 2.0, , , , , , 
如拾地芥, idiom, 1.0, 1.0, PG, 5.0, 1.0, , , , , , 
如汤沃雪, idiom, 1.0, 1.0, PG, 5.0, 1.0, , , , , , 
如解倒悬, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
如龙似虎, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
儒雅风流, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
入火赴汤, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
入海算沙, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
软谈丽语, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
撒娇撒痴, idiom, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
三十而立, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
三台八座, idiom, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
三灾六难, idiom, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
三纸无驴, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
三跪九叩, idiom, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
三臡八菹, idiom, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
桑中之喜, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
丧家之狗, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
山上无老虎，猴子称大王, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
山穷水绝, idiom, 1.0, 1.0, NJ, 5.0, 2.0, , , , , , 
讪皮讪脸, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
伤弓之鸟, idiom, 1.0, 1.0, NC, 5.0, 2.0, , , , , , 
赏不逾时, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
赏贤使能, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
上天入地, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
舍近求远, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
射石饮羽, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
身不遇时, idiom, 1.0, 1.0, NJ, 5.0, 2.0, , , , , , 
身首异地, idiom, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
身远心近, idiom, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
深仁厚泽, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
深计远虑, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
深情厚意, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
神工鬼力, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
神乎其神, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
神来之笔, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
神眉鬼眼, idiom, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
神清气朗, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
神号鬼哭, idiom, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
神机鬼械, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
神谟远算, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
尸禄素飡, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
失时落势, idiom, 1.0, 1.0, NJ, 5.0, 2.0, , , , , , 
失魂荡魄, idiom, 1.0, 1.0, NI, 5.0, 2.0, , , , , , 
刺激, adj, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
从犯, noun, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
粗活, adj, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
错别字, noun, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
打破, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
震惊, noun, 1.0, 1.0, NC, 9.0, 0.0, , , , , , 
造化小儿, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
庞眉皓发, idiom, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
愁眉啼妆, idiom, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
掷果潘安, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
漆身吞炭, idiom, 1.0, 1.0, ND, 7.0, 1.0, , , , , , 
油头滑脑 , idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
衷曲, noun, 1.0, 1.0, NB, 7.0, 2.0, , , , , , 
雄姿英发, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
少气无力, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
付之一笑, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
烟视媚行, idiom, 1.0, 1.0, NG, 7.0, 2.0, , , , , , 
耳根清净, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
舌敝唇焦, idiom, 1.0, 1.0, NB, 7.0, 2.0, , , , , , 
筋疲力尽, idiom, 1.0, 1.0, NA, 7.0, 2.0, , , , , , 
头重脚轻, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
清心寡欲, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
不可磨灭, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
落月屋梁, idiom, 1.0, 1.0, PF, 7.0, 2.0, , , , , , 
畏威怀德, idiom, 1.0, 1.0, PF, 7.0, 2.0, , , , , , 
弘誓大愿, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
力不胜任, idiom, 1.0, 1.0, NJ, 5.0, 2.0, , , , , , 
无从下手, idiom, 1.0, 1.0, NB, 7.0, 2.0, , , , , , 
大旱云霓, idiom, 1.0, 1.0, PF, 7.0, 2.0, , , , , , 
千金买骨, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
延颈举踵, idiom, 1.0, 1.0, PF, 7.0, 2.0, , , , , , 
神色自若, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
屠门大嚼, idiom, 1.0, 1.0, PF, 7.0, 1.0, , , , , , 
心荡神迷, idiom, 1.0, 1.0, NI, 7.0, 2.0, , , , , , 
一则以喜，一则以惧, idiom, 1.0, 1.0, NI, 7.0, 2.0, , , , , , 
叨在知己, idiom, 1.0, 1.0, NH, 7.0, 2.0, , , , , , 
抚心自问, idiom, 1.0, 1.0, NB, 7.0, 2.0, , , , , , 
豪放不羁, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
笑逐颜开, idiom, 1.0, 1.0, PA, 9.0, 1.0, , , , , , 
无官一身轻, idiom, 1.0, 1.0, PE, 7.0, 1.0, , , , , , 
轩轩甚得, idiom, 1.0, 1.0, PE, 7.0, 1.0, , , , , , 
怒火中烧, idiom, 1.0, 1.0, NA, 9.0, 2.0, , , , , , 
惯愤不平, idiom, 1.0, 1.0, NA, 9.0, 2.0, , , , , , 
痛定思痛, idiom, 1.0, 1.0, NB, 9.0, 2.0, , , , , , 
惙怛伤悴, idiom, 1.0, 1.0, NB, 9.0, 2.0, , , , , , 
宝卷, noun, 1.0, 1.0, PB, 7.0, 1.0, , , , , , 
保养, noun, 1.0, 1.0, PB, 7.0, 1.0, , , , , , 
报丧, verb, 1.0, 1.0, NB, 9.0, 2.0, , , , , , 
暴风雨, noun, 1.0, 1.0, NC, 5.0, 2.0, , , , , , 
悲歌, noun, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
背气, verb, 1.0, 1.0, NC, 3.0, 2.0, , , , , , 
奔腾, verb, 1.0, 1.0, PB, 7.0, 1.0, , , , , , 
崩漏, noun, 1.0, 1.0, NC, 7.0, 2.0, , , , , , 
鼻咽癌, noun, 1.0, 1.0, NC, 7.0, 2.0, , , , , , 
必得, adj, 1.0, 1.0, PG, 9.0, 1.0, , , , , , 
庇佑, verb, 1.0, 1.0, PE, 7.0, 1.0, , , , , , 
壁上观, noun, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
边区, noun, 1.0, 1.0, PD, 7.0, 1.0, , , , , , 
贬责, verb, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
误事, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
西洋景, noun, 2.0, 2.0, ND, 5.0, 2.0, , , , , , 
稀糟, adj, 1.0, 1.0, NN, 9.0, 0.0, , , , , , 
洗礼, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
喜剧, noun, 1.0, 1.0, PA, 3.0, 0.0, , , , , , 
戏耍, verb, 1.0, 1.0, NA, 3.0, 2.0, , , , , , 
细作, noun, 1.0, 1.0, ND, 3.0, 0.0, , , , , , 
下第, adj, 2.0, 1.0, NN, 5.0, 0.0, , , , , , 
下台, verb, 3.0, 3.0, NI, 3.0, 0.0, , , , , , 
先达, noun, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
鲜果, noun, 1.0, 1.0, PH, 1.0, 0.0, , , , , , 
闲工夫, noun, 1.0, 1.0, ND, 3.0, 0.0, , , , , , 
闲庭, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
嫌隙, noun, 1.0, 1.0, NK, 5.0, 0.0, , , , , , 
显扬, verb, 1.0, 1.0, PH, 5.0, 0.0, , , , , , 
险滩, noun, 1.0, 1.0, NC, 1.0, 0.0, , , , , , 
现行犯, noun, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
偌大, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
洒狗血, verb, 1.0, 1.0, NN, 1.0, 2.0, , , , , , 
散落, verb, 3.0, 3.0, NB, 5.0, 2.0, , , , , , 
丧礼, noun, 1.0, 1.0, NB, 7.0, 2.0, , , , , , 
扫灭, verb, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
瑟瑟, adj, 2.0, 2.0, NC, 5.0, 2.0, , , , , , 
傻劲儿, adj, 2.0, 2.0, NN, 3.0, 2.0, , , , , , 
姗姗, adj, 1.0, 1.0, PA, 1.0, 1.0, , , , , , 
善后, verb, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
赡养, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
伤亡, noun, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
商酌, noun, 1.0, 1.0, PD, 3.0, 1.0, , , , , , 
赏阅, verb, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
上房, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
上劲, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
紧绷绷, adj, 2.0, 2.0, NI, 9.0, 0.0, , , , , , 
京京, adj, 1.0, 1.0, NE, 9.0, 0.0, , , , , , 
久仰, verb, 1.0, 1.0, PD, 7.0, 1.0, , , , , , 
改窜, verb, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
寄托, verb, 2.0, 2.0, PB, 5.0, 1.0, , , , , , 
嘉肴, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
假托, verb, 3.0, 2.0, NN, 3.0, 2.0, , , , , , 
俭约, adj, 1.0, 1.0, PH, 3.0, 0.0, , , , , , 
犟劲, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
披麻救火, idiom, 1.0, 1.0, NN, 1.0, 2.0, , , , , , 
匹马当先, idiom, 1.0, 1.0, PD, 3.0, 1.0, , , , , , 
飘茵落溷, idiom, 1.0, 1.0, NJ, 3.0, 2.0, , , , , , 
贫贱骄人, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
破卵倾巢, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
破愁为笑, idiom, 1.0, 1.0, PA, 1.0, 0.0, , , , , , 
剖析肝胆, idiom, 1.0, 1.0, PD, 3.0, 1.0, , , , , , 
七步之才, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
七窍冒火, idiom, 1.0, 1.0, NA, 9.0, 2.0, , , , , , 
奇想天开, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
骑牛读汉书, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
骑鹤维扬, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
棋逢敌手, idiom, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
杞梓之林, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
气决泉达, idiom, 1.0, 1.0, PE, 5.0, 1.0, , , , , , 
气满志骄, idiom, 1.0, 1.0, PE, 7.0, 1.0, , , , , , 
弃邪归正, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
弃义倍信, idiom, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
洽博多闻, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
千古绝唱, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
千里姻缘一线牵, idiom, 1.0, 1.0, PB, 5.0, 0.0, , , , , , 
千灾百难, idiom, 1.0, 1.0, NB, 9.0, 2.0, , , , , , 
千思万虑, idiom, 1.0, 1.0, PF, 9.0, 0.0, , , , , , 
千载一圣, idiom, 1.0, 1.0, PD, 9.0, 1.0, , , , , , 
千头万序, idiom, 1.0, 1.0, PF, 9.0, 0.0, , , , , , 
迁善去恶, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
牵萝莫补, idiom, 1.0, 1.0, NJ, 9.0, 0.0, , , , , , 
前功尽灭, idiom, 1.0, 1.0, NJ, 9.0, 0.0, , , , , , 
前瞻后顾, idiom, 1.0, 1.0, PF, 9.0, 2.0, , , , , , 
潜精研思, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
名教, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
名士派, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
明眼人, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
默哀, verb, 1.0, 1.0, NJ, 7.0, 2.0, , , , , , 
纳福, verb, 1.0, 1.0, PE, 5.0, 1.0, , , , , , 
依仗, verb, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
贻误, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
义卖, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
义战, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
意志, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
应付, verb, 3.0, 2.0, NN, 7.0, 2.0, , , , , , 
御用, adj, 2.0, 2.0, ND, 7.0, 2.0, , , , , , 
